,slp,industry,gas_to_electricity_public,aggregated,manufacturing_sector,hospitality_sector,retail_sector,real_wages,price_industry,price_households,solar,temperature,index,time,year,month,weekday,weekday_num,monday,friday,weekend,christmas_period,holiday,long_weekend
2019-01-11,2.215158062,1.4957680560752717,0.6613939719247279,2.095952249704864,98.4,86.0,102.8,102.8,104.1,94.6,1.5388992956148517e-11,274.21911229860245,2019-01-11,740.0,2019,1,Friday,4,0,1,0,0,0,0
2019-01-12,2.0219730830000002,1.3629432495334082,0.3924870664665919,1.8769963278275152,98.4,86.0,102.8,102.8,104.1,94.6,1.2691166936410568e-11,276.9353411158118,2019-01-12,741.0,2019,1,Saturday,5,0,0,1,0,0,0
2019-01-13,1.8991911920000002,1.4201913851488432,0.24550610785115687,1.6624829076044807,98.4,86.0,102.8,102.8,104.1,94.6,6.464704608587783e-12,278.8754349849297,2019-01-13,742.0,2019,1,Sunday,6,0,0,1,0,0,0
2019-01-14,2.1380728860000002,1.6888271601637912,0.4445284138362083,1.7778904876172086,98.4,86.0,102.8,102.8,104.1,94.6,3.6783513843673495e-11,276.1131960850076,2019-01-14,743.0,2019,1,Monday,0,1,0,0,0,0,0
2019-01-15,2.086602785,1.5897740502622346,0.5017626887377654,1.7884990422068814,98.4,86.0,102.8,102.8,104.1,94.6,2.635746857485536e-11,276.4840257550902,2019-01-15,744.0,2019,1,Tuesday,1,0,0,0,0,0,0
2019-01-16,1.9966670420000001,1.5366332621480483,0.5422567768519517,1.747958676900509,98.4,86.0,102.8,102.8,104.1,94.6,3.2479012716597575e-11,277.27462647828827,2019-01-16,745.0,2019,1,Wednesday,2,0,0,0,0,0,0
2019-01-17,2.10152948,1.6201463337327326,0.49664575526726734,1.7951854793188717,98.4,86.0,102.8,102.8,104.1,94.6,3.127203212998907e-11,276.6463405135859,2019-01-17,746.0,2019,1,Thursday,3,0,0,0,0,0,0
2019-01-18,2.353836834,1.6224126497550642,0.6915236982449358,2.081023624518046,98.4,86.0,102.8,102.8,104.1,94.6,4.993887241737441e-11,272.45548642208644,2019-01-18,747.0,2019,1,Friday,4,0,1,0,0,0,0
2019-01-19,2.4819945650000004,1.4943770652190969,0.5553991437809033,2.296140455746629,98.4,86.0,102.8,102.8,104.1,94.6,5.692674182591731e-11,270.3572332882964,2019-01-19,748.0,2019,1,Saturday,5,0,0,1,0,0,0
2019-01-20,2.6524464240000003,1.5385231671908213,0.5707507118091786,2.5069623794570424,98.4,86.0,102.8,102.8,104.1,94.6,5.861766251720305e-11,268.9640541690242,2019-01-20,749.0,2019,1,Sunday,6,0,0,1,0,0,0
2019-01-21,2.796296651,1.7556930780153395,0.8052392159846603,2.6741054581331047,98.4,86.0,102.8,102.8,104.1,94.6,5.592148720026333e-11,269.0211360472736,2019-01-21,750.0,2019,1,Monday,0,1,0,0,0,0,0
2019-01-22,2.7989177790000004,1.7663965848648093,0.7755792711351908,2.6979246123466387,98.4,86.0,102.8,102.8,104.1,94.6,5.493712663613151e-11,269.1350545305295,2019-01-22,751.0,2019,1,Tuesday,1,0,0,0,0,0,0
2019-01-23,2.862176094,1.7489899100872137,0.8725008689127864,2.7203020383058423,98.4,86.0,102.8,102.8,104.1,94.6,5.195752781654947e-11,268.689995601367,2019-01-23,752.0,2019,1,Wednesday,2,0,0,0,0,0,0
2019-01-24,2.898319422,1.726217356013501,0.916268074986499,2.7372738243320796,98.4,86.0,102.8,102.8,104.1,94.6,3.95037415116881e-11,268.6972904838768,2019-01-24,753.0,2019,1,Thursday,3,0,0,0,0,0,0
2019-01-25,2.750579718,1.5842905889100027,0.8316175990899978,2.6446769589236636,98.4,86.0,102.8,102.8,104.1,94.6,3.805249877037037e-11,269.9522819613849,2019-01-25,754.0,2019,1,Friday,4,0,1,0,0,0,0
2019-01-26,2.292293146,1.4111674721019778,0.4565608068980222,2.2194753781843337,98.4,86.0,102.8,102.8,104.1,94.6,1.6026112283286884e-11,275.61414915275475,2019-01-26,755.0,2019,1,Saturday,5,0,0,1,0,0,0
2019-01-27,2.1031595700000003,1.4759090764998113,0.3434555445001888,1.9253244577415962,98.4,86.0,102.8,102.8,104.1,94.6,3.447043391271807e-11,277.3109593089693,2019-01-27,756.0,2019,1,Sunday,6,0,0,1,0,0,0
2019-01-28,2.3074915430000003,1.645666781764287,0.5763504762357133,1.9871468579929346,98.4,86.0,102.8,102.8,104.1,94.6,3.259607618236559e-11,274.8433548164553,2019-01-28,757.0,2019,1,Monday,0,1,0,0,0,0,0
2019-01-29,2.386561947,1.6210441797784438,0.7346461062215559,2.1021154862673903,98.4,86.0,102.8,102.8,104.1,94.6,5.0657370775939394e-11,273.2746262491375,2019-01-29,758.0,2019,1,Tuesday,1,0,0,0,0,0,0
2019-01-30,2.483761249,1.6613847873206982,0.7053661316793021,2.2274372974334957,98.4,86.0,102.8,102.8,104.1,94.6,4.4868509601659475e-11,272.46107543418253,2019-01-30,759.0,2019,1,Wednesday,2,0,0,0,0,0,0
2019-01-31,2.454796168,1.5919219116442371,0.7458310503557627,2.3136059829166387,98.4,86.0,102.8,102.8,104.1,94.6,6.273320744174995e-11,272.2207355435647,2019-01-31,760.0,2019,1,Thursday,3,0,0,0,0,0,0
2019-02-01,2.355412369,1.5537513459339924,0.7022812880660079,2.2387190063779974,100.3,87.7,98.2,102.8,103.4,94.8,3.967877353175853e-11,273.69523587095586,2019-02-01,761.0,2019,2,Friday,4,0,1,0,0,0,0
2019-02-02,2.269778794,1.3980227411728856,0.5373347038271146,2.1134367614351826,100.3,87.7,98.2,102.8,103.4,94.8,3.2157917817331904e-11,274.2980964537141,2019-02-02,762.0,2019,2,Saturday,5,0,0,1,0,0,0
2019-02-03,2.3234432490000003,1.4624064032608457,0.5054078727391541,2.1085749915516554,100.3,87.7,98.2,102.8,103.4,94.8,3.907114798574188e-11,273.8543219966195,2019-02-03,763.0,2019,2,Sunday,6,0,0,1,0,0,0
2019-02-04,2.353718778,1.6462908556405216,0.5502275713594784,2.1981665352464126,100.3,87.7,98.2,102.8,103.4,94.8,7.004209878132343e-11,273.24026759680004,2019-02-04,764.0,2019,2,Monday,0,1,0,0,0,0,0
2019-02-05,2.304792866,1.6171246941643558,0.7102193228356443,2.1768371222358063,100.3,87.7,98.2,102.8,103.4,94.8,5.120213422549006e-11,273.7960942791634,2019-02-05,765.0,2019,2,Tuesday,1,0,0,0,0,0,0
2019-02-06,2.2292702500000003,1.5481673960861326,0.6886724819138673,2.1269511335220934,100.3,87.7,98.2,102.8,103.4,94.8,6.481618088391986e-11,274.2277815142268,2019-02-06,766.0,2019,2,Wednesday,2,0,0,0,0,0,0
2019-02-07,2.120115793,1.647957873253874,0.4725463647461257,2.00868200664021,100.3,87.7,98.2,102.8,103.4,94.8,4.220538960503573e-11,275.7198290669832,2019-02-07,767.0,2019,2,Thursday,3,0,0,0,0,0,0
2019-02-08,1.9259434800000002,1.4995165849752516,0.4033287620247483,1.7659447495550367,100.3,87.7,98.2,102.8,103.4,94.8,5.893728495673617e-11,278.2398690099672,2019-02-08,768.0,2019,2,Friday,4,0,1,0,0,0,0
2019-02-09,1.7728780130000001,1.383115233918651,0.21642622908134898,1.508138349147688,100.3,87.7,98.2,102.8,103.4,94.8,6.756799366966287e-11,279.8105757283317,2019-02-09,769.0,2019,2,Saturday,5,0,0,1,0,0,0
2019-02-10,1.814427443,1.413936313224733,0.2431025947752671,1.437354039366189,100.3,87.7,98.2,102.8,103.4,94.8,2.7400008109799966e-11,279.385579724386,2019-02-10,770.0,2019,2,Sunday,6,0,0,1,0,0,0
2019-02-11,2.0321273300000002,1.7157465125813012,0.3657528094186988,1.6404249630850354,100.3,87.7,98.2,102.8,103.4,94.8,6.513524371305785e-11,276.6322235175732,2019-02-11,771.0,2019,2,Monday,0,1,0,0,0,0,0
2019-02-12,2.085978371,1.5948450597529444,0.5725672452470556,1.79310680942632,100.3,87.7,98.2,102.8,103.4,94.8,6.190721589496365e-11,275.705015739255,2019-02-12,772.0,2019,2,Tuesday,1,0,0,0,0,0,0
2019-02-13,1.985420533,1.5241326698042945,0.5908061361957055,1.8034256530530328,100.3,87.7,98.2,102.8,103.4,94.8,6.79211594881193e-11,276.6453068515248,2019-02-13,773.0,2019,2,Wednesday,2,0,0,0,0,0,0
2019-02-14,1.8981322690000002,1.4771342651218147,0.5838035248781853,1.7684561732568314,100.3,87.7,98.2,102.8,103.4,94.8,9.49707406388575e-11,277.27863108091543,2019-02-14,774.0,2019,2,Thursday,3,0,0,0,0,0,0
2019-02-15,1.7420488630000002,1.3565354966994767,0.5340655743005235,1.6459662723995097,100.3,87.7,98.2,102.8,103.4,94.8,1.0730931515900348e-10,278.42587205550296,2019-02-15,775.0,2019,2,Friday,4,0,1,0,0,0,0
2019-02-16,1.6104906490000002,1.2698058575054738,0.3325829774945262,1.493467918632419,100.3,87.7,98.2,102.8,103.4,94.8,1.1024397376034407e-10,279.25379388440666,2019-02-16,776.0,2019,2,Saturday,5,0,0,1,0,0,0
2019-02-17,1.5864021480000001,1.2783078048760208,0.32602381512397904,1.4408595060310818,100.3,87.7,98.2,102.8,103.4,94.8,1.0938586283402656e-10,279.2800865426362,2019-02-17,777.0,2019,2,Sunday,6,0,0,1,0,0,0
2019-02-18,1.560682378,1.4289614139210276,0.4569935500789723,1.4426323279702864,100.3,87.7,98.2,102.8,103.4,94.8,1.1406370485361646e-10,279.4607906869624,2019-02-18,778.0,2019,2,Monday,0,1,0,0,0,0,0
2019-02-19,1.6533570180000001,1.4312662002220702,0.4601305407779297,1.4634910009059587,100.3,87.7,98.2,102.8,103.4,94.8,7.663170222932963e-11,278.9755542581833,2019-02-19,779.0,2019,2,Tuesday,1,0,0,0,0,0,0
2019-02-20,1.642689842,1.3745249045378913,0.5299267174621086,1.4848831671258804,100.3,87.7,98.2,102.8,103.4,94.8,7.298160338875212e-11,278.7644704056872,2019-02-20,780.0,2019,2,Wednesday,2,0,0,0,0,0,0
2019-02-21,1.5445941520000002,1.3340500739788161,0.5128621450211839,1.3990622524990994,100.3,87.7,98.2,102.8,103.4,94.8,7.212362573183689e-11,280.2472732762157,2019-02-21,781.0,2019,2,Thursday,3,0,0,0,0,0,0
2019-02-22,1.599054229,1.3399523941256706,0.5255220898743294,1.3960943923496707,100.3,87.7,98.2,102.8,103.4,94.8,4.9256711797718237e-11,279.67048087304283,2019-02-22,782.0,2019,2,Friday,4,0,1,0,0,0,0
2019-02-23,1.788795394,1.344987905797976,0.3350854032020241,1.618019232166395,100.3,87.7,98.2,102.8,103.4,94.8,1.2134848022109103e-10,275.8776179598936,2019-02-23,783.0,2019,2,Saturday,5,0,0,1,0,0,0
