time,solar [J/m^2]
2018-07-01,1167250.7069109536
2018-07-02,1192746.0018626517
2018-07-03,1169213.9501211443
2018-07-04,1019142.9849538436
2018-07-05,822289.3648874536
2018-07-06,782249.6564079415
2018-07-07,1057124.5170891946
2018-07-08,1026299.4485338059
2018-07-09,818039.4981609028
2018-07-10,585207.5119540248
2018-07-11,624655.9091721472
2018-07-12,730908.4820596514
2018-07-13,1000312.3747589542
2018-07-14,958733.7761702096
2018-07-15,1035936.8326403644
2018-07-16,1028317.4518264858
2018-07-17,990124.2443008856
2018-07-18,977480.5023132673
2018-07-19,981977.2170578247
2018-07-20,966776.5831113631
2018-07-21,707709.1869151253
2018-07-22,765843.1651749738
2018-07-23,863842.973810323
2018-07-24,1037101.399167667
2018-07-25,932810.9237163666
2018-07-26,1000973.4881702132
2018-07-27,975664.9041982418
2018-07-28,780736.2088654833
2018-07-29,865053.0551768081
2018-07-30,943019.7874503819
2018-07-31,884951.4886214276
2018-08-01,900446.1654346354
2018-08-02,897408.8750232477
2018-08-03,972997.120500382
2018-08-04,866555.0994981225
2018-08-05,881901.5272977151
2018-08-06,1021227.1009776801
2018-08-07,913308.8082501893
2018-08-08,804530.9518337115
2018-08-09,768849.7541842222
2018-08-10,685954.793046182
2018-08-11,768251.3261396106
2018-08-12,921012.1780537033
2018-08-13,575155.0540923487
2018-08-14,656833.896051638
2018-08-15,586259.6704499783
2018-08-16,906739.3653774615
2018-08-17,719272.6709118293
2018-08-18,817522.9101977708
2018-08-19,857788.94158711
2018-08-20,588618.1000919682
2018-08-21,676901.0296117963
2018-08-22,795620.5633344505
2018-08-23,759381.05967097
2018-08-24,527009.9125599937
2018-08-25,518286.3894451263
2018-08-26,661546.8501904841
2018-08-27,394797.8792085349
2018-08-28,700361.6424827875
2018-08-29,781601.4345507737
2018-08-30,484469.87740990194
2018-08-31,463988.07397495955
2018-09-01,566367.3651840709
2018-09-02,383526.1359846881
2018-09-03,431452.629850615
2018-09-04,576419.6894111104
2018-09-05,682681.5105730897
2018-09-06,572802.9474201599
2018-09-07,488294.2280579454
2018-09-08,651389.9899331381
2018-09-09,673131.0894014766
2018-09-10,580043.314667369
2018-09-11,627789.3201454942
2018-09-12,564101.9721681005
2018-09-13,371870.2409805995
2018-09-14,458511.6020744036
2018-09-15,505106.7788288207
2018-09-16,655296.6234854249
2018-09-17,679561.9703285381
2018-09-18,655915.0979726227
2018-09-19,602986.5311901976
2018-09-20,597275.7966410588
2018-09-21,383801.0770898525
2018-09-22,419912.88133239327
2018-09-23,161541.85683546666
2018-09-24,513131.35908961395
2018-09-25,527376.7781756585
2018-09-26,547567.3078136184
2018-09-27,556879.9400973712
2018-09-28,455428.2391184378
2018-09-29,545474.997690143
2018-09-30,585649.2699093714
2018-10-01,368638.5019005229
2018-10-02,173108.8613710966
2018-10-03,354863.88935971865
2018-10-04,403332.559747023
2018-10-05,534784.7043463109
2018-10-06,500612.7018546793
2018-10-07,414651.2107272486
2018-10-08,445700.29573170765
2018-10-09,431966.1525253521
2018-10-10,481348.95611284854
2018-10-11,459978.5447346859
2018-10-12,453847.31476623006
2018-10-13,461433.2139701653
2018-10-14,462961.71862827125
2018-10-15,441637.1701366272
2018-10-16,414936.6461899919
2018-10-17,396591.3041460351
2018-10-18,319919.29654352827
2018-10-19,272062.8065614619
2018-10-20,316685.6344400448
2018-10-21,324955.2676188893
2018-10-22,230583.3499284213
2018-10-23,147190.89940437351
2018-10-24,111743.12101827319
2018-10-25,166207.12195564836
2018-10-26,224246.00172039153
2018-10-27,199272.55641546566
2018-10-28,154470.76054133737
2018-10-29,95431.60437337251
2018-10-30,172468.51652834573
2018-10-31,281458.5024926473
2018-11-01,200939.38649210034
2018-11-02,214416.05041446316
2018-11-03,242227.01414112153
2018-11-04,201638.17851014555
2018-11-05,223521.078847919
2018-11-06,271755.0209642926
2018-11-07,271612.88381139684
2018-11-08,196529.16483172987
2018-11-09,191908.7872662705
2018-11-10,153061.15778917648
2018-11-11,184896.83894278904
2018-11-12,155277.82285548616
2018-11-13,158358.6560954459
2018-11-14,205947.2454502775
2018-11-15,203379.44920125595
2018-11-16,239059.2842726222
2018-11-17,248184.79842999336
2018-11-18,225346.52286874122
2018-11-19,143751.4932569138
2018-11-20,143002.95135139293
2018-11-21,158564.23326385376
2018-11-22,152615.90515351758
2018-11-23,168424.6432923696
2018-11-24,82493.37025169043
2018-11-25,101236.83804106402
2018-11-26,62062.42870927407
2018-11-27,106075.53039893358
2018-11-28,135958.0966621988
2018-11-29,121842.01269504083
2018-11-30,90437.84145101848
2018-12-01,102400.67359733755
2018-12-02,23980.252175726273
2018-12-03,83945.05622423496
2018-12-04,124070.4861908867
2018-12-05,137634.79660483633
2018-12-06,42631.08205511
2018-12-07,32390.376792520296
2018-12-08,90084.51293857182
2018-12-09,65290.68446198888
2018-12-10,121056.1345062134
2018-12-11,109915.93036154962
2018-12-12,100753.3833157356
2018-12-13,115447.38371839217
2018-12-14,99208.47740329716
2018-12-15,126006.82439369214
2018-12-16,62654.73951960068
2018-12-17,70956.90524503407
2018-12-18,117639.65329647041
2018-12-19,54269.719190339536
2018-12-20,80502.88181365996
2018-12-21,26953.33078824423
2018-12-22,74750.5989215851
2018-12-23,51294.382328683125
2018-12-24,80033.18929868967
2018-12-25,108279.1917886125
2018-12-26,80483.15805478285
2018-12-27,108784.55721489979
2018-12-28,122022.76852323237
2018-12-29,55952.06770508891
2018-12-30,64105.99147420034
2018-12-31,33789.86481258725
2019-01-01,56606.23235568945
2019-01-02,140505.0219100594
2019-01-03,116012.78404217801
2019-01-04,63401.72159425346
2019-01-05,29326.53563751387
2019-01-06,42202.200337620896
2019-01-07,49204.65916923314
2019-01-08,86188.01606939062
2019-01-09,100860.28758196162
2019-01-10,101522.11190281587
2019-01-11,55400.3303218704
2019-01-12,45688.164420546505
2019-01-13,23272.917972581636
2019-01-14,132420.54390078946
2019-01-15,94886.81096003052
2019-01-16,116924.35224026948
2019-01-17,112579.22560458015
2019-01-18,179779.79687871036
2019-01-19,204936.106624417
2019-01-20,211023.41624319795
2019-01-21,201317.1928671937
2019-01-22,197773.49767127528
2019-01-23,187046.95050201772
2019-01-24,142213.3556713926
2019-01-25,136988.88598222454
2019-01-26,57693.958064666316
2019-01-27,124093.4628110148
2019-01-28,117345.78037989179
2019-01-29,182366.3889002707
2019-01-30,161526.50534476983
2019-01-31,225839.3661188069
2019-02-01,142843.47043955437
2019-02-02,115768.41152766564
2019-02-03,140656.02022385458
2019-02-04,252151.35389168118
2019-02-05,184327.53574973557
2019-02-06,233338.06451165988
2019-02-07,151939.2810267038
2019-02-08,212174.05610500535
2019-02-09,243244.58261512025
2019-02-10,98639.95028331963
2019-02-11,234486.68977765637
2019-02-12,222865.79892922996
2019-02-13,244515.97854444667
2019-02-14,341894.3927843727
2019-02-15,386313.22552183206
2019-02-16,396877.9880348482
2019-02-17,393788.7911714627
2019-02-18,410629.00896981213
2019-02-19,275873.9073264608
2019-02-20,262733.562012658
2019-02-21,259644.84491873684
2019-02-22,177324.02061256915
2019-02-23,436854.1793125843
2019-02-24,446464.78005175706
2019-02-25,456965.11715956376
2019-02-26,461641.0701955494
2019-02-27,480436.9707668095
2019-02-28,436621.86951546813
2019-03-01,181444.28350940588
2019-03-02,203964.77643487905
2019-03-03,170103.63184912325
2019-03-04,316653.58494167536
2019-03-05,325955.97528815333
2019-03-06,332873.31685567694
2019-03-07,344626.10516857245
2019-03-08,399955.6312938689
2019-03-09,245454.05062415797
2019-03-10,201592.19642368716
2019-03-11,369458.0398025305
2019-03-12,394864.2801142009
2019-03-13,393967.4272892736
2019-03-14,163957.3968605178
2019-03-15,127373.66428122146
2019-03-16,201383.97906775086
2019-03-17,385493.6061449824
2019-03-18,511237.65157121234
2019-03-19,534394.609904674
2019-03-20,506071.17627171084
2019-03-21,576093.1079472174
2019-03-22,634682.3358737285
2019-03-23,554352.9065082214
2019-03-24,497681.2565028164
2019-03-25,510422.4353056668
2019-03-26,386361.7536033017
2019-03-27,353224.2512613712
2019-03-28,386477.5145155384
2019-03-29,628726.583857054
2019-03-30,728943.5675212807
2019-03-31,650572.65934426
2019-04-01,780569.0734065915
2019-04-02,669739.3393530999
2019-04-03,458134.5003637947
2019-04-04,384191.527940677
2019-04-05,375666.16085347737
2019-04-06,638047.8258767
2019-04-07,698067.7091641903
2019-04-08,603360.2700951289
2019-04-09,621612.0262941342
2019-04-10,630960.1431492361
2019-04-11,642775.0135296172
2019-04-12,577458.3912569924
2019-04-13,629960.2394049382
2019-04-14,548193.0876464095
2019-04-15,837443.9259110981
2019-04-16,873895.5696140626
2019-04-17,764724.3193418096
2019-04-18,940148.9936266751
2019-04-19,956539.8868405982
2019-04-20,974198.3591188887
2019-04-21,991214.3622151064
2019-04-22,987327.7297782651
2019-04-23,849682.7921065668
2019-04-24,892004.3233165218
2019-04-25,851366.954209066
2019-04-26,513701.26102324313
2019-04-27,585314.068801707
2019-04-28,671726.6737253655
2019-04-29,482372.83608520014
2019-04-30,816160.7192474607
2019-05-01,804890.9734741781
2019-05-02,673505.7541307976
2019-05-03,674472.1572377783
2019-05-04,628143.7452050782
2019-05-05,812941.5608387754
2019-05-06,824878.6413946407
2019-05-07,825149.7833136725
2019-05-08,442569.56495485984
2019-05-09,689327.6841082922
2019-05-10,777527.2982597955
2019-05-11,536715.5779834875
2019-05-12,802912.1377425321
2019-05-13,1024495.1269758843
2019-05-14,916820.4677086724
2019-05-15,868692.973291441
2019-05-16,459679.4961834364
2019-05-17,611332.2733553558
2019-05-18,952890.6511459396
2019-05-19,894086.5298373387
2019-05-20,548973.8514352246
2019-05-21,335938.0765214556
2019-05-22,528237.5157942082
2019-05-23,960362.1289352506
2019-05-24,933914.7977920797
2019-05-25,802790.1740674806
2019-05-26,760693.8893756726
2019-05-27,590879.1592367461
2019-05-28,643085.6832948984
2019-05-29,877367.5111726845
2019-05-30,637173.2607810006
2019-05-31,791676.9316847506
2019-06-01,1045541.2930392987
2019-06-02,1139718.5782998938
2019-06-03,935022.520730203
2019-06-04,986862.138974229
2019-06-05,1061802.2142974422
2019-06-06,615948.2993193497
2019-06-07,1038376.3437252999
2019-06-08,847966.4783053397
2019-06-09,974832.7870735321
2019-06-10,720703.4306295709
2019-06-11,634193.1396388793
2019-06-12,612826.7264523772
2019-06-13,978629.6562135713
2019-06-14,919426.9066033997
2019-06-15,839084.8444104157
2019-06-16,725516.6353813511
2019-06-17,968149.6434729532
2019-06-18,981179.2762257112
2019-06-19,1021749.7100141587
2019-06-20,848416.6461068941
2019-06-21,911080.0734539464
2019-06-22,859883.7917186379
2019-06-23,987413.8279511834
2019-06-24,1157599.124969011
2019-06-25,1156252.2627187
2019-06-26,1147322.3797046428
2019-06-27,1127622.2633802227
2019-06-28,1123967.2441184935
2019-06-29,1215612.0115035104
2019-06-30,1178740.6997277425
2019-07-01,975046.8273347731
2019-07-02,950238.2944423436
2019-07-03,1001743.730691231
2019-07-04,1097461.379998065
2019-07-05,879791.7945629614
2019-07-06,885150.2202014303
2019-07-07,749736.6221291869
2019-07-08,702406.267067784
2019-07-09,760708.678428053
2019-07-10,1018746.3302466562
2019-07-11,535231.5498868745
2019-07-12,716331.4556237763
