,0
2017-05-11,0.0661315
2017-05-12,0.05154875
2017-05-13,0.0453469999999999
2017-05-14,0.04268925
2017-05-15,0.064907
2017-05-16,0.0670097499999999
2017-05-17,0.0658549999999999
2017-05-18,0.0612947499999999
2017-05-19,0.05812475
2017-05-20,0.03744075
2017-05-21,0.036179
2017-05-22,0.05860525
2017-05-23,0.06360275
2017-05-24,0.049614
2017-05-25,0.0297084999999999
2017-05-26,0.0292944999999999
2017-05-27,0.02429025
2017-05-28,0.0266954999999999
2017-05-29,0.0855445
2017-05-30,0.09916475
2017-05-31,0.0674369999999999
2017-06-01,0.06563775
2017-06-02,0.0683067499999999
2017-06-03,0.0546092499999999
2017-06-04,0.0339965
2017-06-05,0.03417575
2017-06-06,0.040213
2017-06-07,0.0356247499999999
2017-06-08,0.0456735
2017-06-09,0.047323
2017-06-10,0.03603825
2017-06-11,0.03229225
2017-06-12,0.0388259999999999
2017-06-13,0.06069575
2017-06-14,0.06679225
2017-06-15,0.0560149999999999
2017-06-16,0.03458425
2017-06-17,0.03666675
2017-06-18,0.0417795
2017-06-19,0.080856
2017-06-20,0.0829277499999999
2017-06-21,0.0867535
2017-06-22,0.080271
2017-06-23,0.05565025
2017-06-24,0.0297639999999999
2017-06-25,0.0255199999999999
2017-06-26,0.06839625
2017-06-27,0.0977152499999999
2017-06-28,0.0804669999999999
2017-06-29,0.08553725
2017-06-30,0.05284225
2017-07-01,0.03498775
2017-07-02,0.0326747499999999
2017-07-03,0.06082325
2017-07-04,0.0746542499999999
2017-07-05,0.0871622499999999
2017-07-06,0.1044419999999999
2017-07-07,0.1011589999999999
2017-07-08,0.06519975
2017-07-09,0.05090925
2017-07-10,0.11427
2017-07-11,0.1014525
2017-07-12,0.0838462499999999
2017-07-13,0.0791207499999999
2017-07-14,0.0868079999999999
2017-07-15,0.0624952499999999
2017-07-16,0.043878
2017-07-17,0.090442
2017-07-18,0.099651
2017-07-19,0.0896227499999999
2017-07-20,0.0998644999999999
2017-07-21,0.0841137499999999
2017-07-22,0.0508255
2017-07-23,0.0370782499999999
2017-07-24,0.093636
2017-07-25,0.06609175
2017-07-26,0.0684844999999999
2017-07-27,0.06407675
2017-07-28,0.04147875
2017-07-29,0.0279235
2017-07-30,0.0263374999999999
2017-07-31,0.0528827499999999
2017-08-01,0.065094
2017-08-02,0.06726075
2017-08-03,0.0409334999999999
2017-08-04,0.0355637499999999
2017-08-05,0.0298959999999999
2017-08-06,0.0287495
2017-08-07,0.0500987499999999
2017-08-08,0.0536669999999999
2017-08-09,0.045677
2017-08-10,0.064713
2017-08-11,0.0704909999999999
2017-08-12,0.02793375
2017-08-13,0.02266775
2017-08-14,0.0381125
2017-08-15,0.0302277499999999
2017-08-16,0.0456782499999999
2017-08-17,0.0487075
2017-08-18,0.04988725
2017-08-19,0.02431225
2017-08-20,0.0220475
2017-08-21,0.0305034999999999
2017-08-22,0.03196175
2017-08-23,0.03057675
2017-08-24,0.0356639999999999
2017-08-25,0.0353435
2017-08-26,0.0261472499999999
2017-08-27,0.0232974999999999
2017-08-28,0.04212425
